Year,New CS Master’s Graduates (% of Total),Label
2011,0.007480314960629921,Native Hawaiian or Pacific Islander
2012,0.003605769230769231,Native Hawaiian or Pacific Islander
2013,0.0017490161783996502,Native Hawaiian or Pacific Islander
2014,0.0004434589800443459,Native Hawaiian or Pacific Islander
2015,0.001053740779768177,Native Hawaiian or Pacific Islander
2016,0.003148366784730421,Native Hawaiian or Pacific Islander
2017,0.0009569377990430622,Native Hawaiian or Pacific Islander
2018,0.0005586592178770949,Native Hawaiian or Pacific Islander
2019,0.0014605647517039922,Native Hawaiian or Pacific Islander
2020,0.0008686210640608035,Native Hawaiian or Pacific Islander
2021,0.0012461059190031153,Native Hawaiian or Pacific Islander
2011,0.004724409448818898,American Indian or Alaska Native
2012,0.004006410256410256,American Indian or Alaska Native
2013,0.003935286401399213,American Indian or Alaska Native
2014,0.0031042128603104213,American Indian or Alaska Native
2015,0.01685985247629083,American Indian or Alaska Native
2016,0.005509641873278237,American Indian or Alaska Native
2017,0.00733652312599681,American Indian or Alaska Native
2018,0.0019553072625698325,American Indian or Alaska Native
2019,0.0014605647517039922,American Indian or Alaska Native
2020,0.006948968512486428,American Indian or Alaska Native
2021,0.0024922118380062306,American Indian or Alaska Native
2011,0.0031496062992125984,Multiracial (Not Hispanic)
2012,0.008814102564102564,Multiracial (Not Hispanic)
2013,0.023611718408395276,Multiracial (Not Hispanic)
2014,0.013747228381374724,Multiracial (Not Hispanic)
2015,0.018616087109237796,Multiracial (Not Hispanic)
2016,0.018890200708382526,Multiracial (Not Hispanic)
2017,0.019776714513556618,Multiracial (Not Hispanic)
2018,0.02011173184357542,Multiracial (Not Hispanic)
2019,0.020934761441090556,Multiracial (Not Hispanic)
2020,0.02823018458197611,Multiracial (Not Hispanic)
2021,0.03447559709241952,Multiracial (Not Hispanic)
2011,0.03779527559055118,Black or African-American
2012,0.04927884615384615,Black or African-American
2013,0.028421512898994316,Black or African-American
2014,0.03813747228381375,Black or African-American
2015,0.03863716192483316,Black or African-American
2016,0.030696576151121605,Black or African-American
2017,0.0354066985645933,Black or African-American
2018,0.03128491620111732,Black or African-American
2019,0.03773125608568646,Black or African-American
2020,0.034093376764386535,Black or African-American
2021,0.03821391484942887,Black or African-American
2011,0.046850393700787404,Hispanic (Any Race)
2012,0.04927884615384615,Hispanic (Any Race)
2013,0.034105815478793176,Hispanic (Any Race)
2014,0.05454545454545454,Hispanic (Any Race)
2015,0.04952581664910432,Hispanic (Any Race)
2016,0.049586776859504134,Hispanic (Any Race)
2017,0.05518341307814992,Hispanic (Any Race)
2018,0.06675977653631285,Hispanic (Any Race)
2019,0.06718597857838364,Hispanic (Any Race)
2020,0.08360477741585233,Hispanic (Any Race)
2021,0.07248182762201454,Hispanic (Any Race)
2011,0.29645669291338583,Asian
2012,0.19391025641025642,Asian
2013,0.2431132487975514,Asian
2014,0.22172949002217296,Asian
2015,0.33649455567263786,Asian
2016,0.2876820149547422,Asian
2017,0.2937799043062201,Asian
2018,0.33491620111731846,Asian
2019,0.37658227848101267,Asian
2020,0.351357220412595,Asian
2021,0.3482866043613707,Asian
2011,0.6035433070866142,White
2012,0.6911057692307693,White
2013,0.665063401836467,White
2014,0.6682926829268293,White
2015,0.5388127853881278,White
2016,0.6044864226682408,White
2017,0.5875598086124402,White
2018,0.544413407821229,White
2019,0.4946445959104187,White
2020,0.4948968512486428,White
2021,0.502803738317757,White
