Year,New CS PhD Graduates (% of Total),Label
2011,0.005856515373352855,Native Hawaiian or Pacic Islander
2012,0.006906077348066298,Native Hawaiian or Pacic Islander
2013,0.005067567567567568,Native Hawaiian or Pacic Islander
2014,0.004966887417218543,Native Hawaiian or Pacic Islander
2015,0.010582010582010581,Native Hawaiian or Pacic Islander
2016,0.008880994671403197,Native Hawaiian or Pacic Islander
2017,0.001851851851851852,Native Hawaiian or Pacic Islander
2018,0.0,Native Hawaiian or Pacic Islander
2019,0.0017793594306049821,Native Hawaiian or Pacic Islander
2020,0.0018115942028985507,Native Hawaiian or Pacic Islander
2021,0.0042643923240938165,Native Hawaiian or Pacic Islander
2011,0.0029282576866764276,American Indian or Alaska Native
2012,0.0013812154696132596,American Indian or Alaska Native
2013,0.005067567567567568,American Indian or Alaska Native
2014,0.0033112582781456954,American Indian or Alaska Native
2015,0.003527336860670194,American Indian or Alaska Native
2016,0.0017761989342806395,American Indian or Alaska Native
2017,0.0,American Indian or Alaska Native
2018,0.004008016032064128,American Indian or Alaska Native
2019,0.0035587188612099642,American Indian or Alaska Native
2020,0.0018115942028985507,American Indian or Alaska Native
2021,0.006396588486140725,American Indian or Alaska Native
2011,0.004392386530014641,Multiracial (Not Hispanic)
2012,0.006906077348066298,Multiracial (Not Hispanic)
2013,0.0033783783783783786,Multiracial (Not Hispanic)
2014,0.008278145695364239,Multiracial (Not Hispanic)
2015,0.019400352733686066,Multiracial (Not Hispanic)
2016,0.003552397868561279,Multiracial (Not Hispanic)
2017,0.007407407407407408,Multiracial (Not Hispanic)
2018,0.014028056112224449,Multiracial (Not Hispanic)
2019,0.01601423487544484,Multiracial (Not Hispanic)
2020,0.021739130434782608,Multiracial (Not Hispanic)
2021,0.021321961620469083,Multiracial (Not Hispanic)
2011,0.02342606149341142,Black or African-American
2012,0.03729281767955801,Black or African-American
2013,0.037162162162162164,Black or African-American
2014,0.028145695364238412,Black or African-American
2015,0.026455026455026454,Black or African-American
2016,0.03019538188277087,Black or African-American
2017,0.018518518518518517,Black or African-American
2018,0.03807615230460922,Black or African-American
2019,0.023131672597864767,Black or African-American
2020,0.034420289855072464,Black or African-American
2021,0.04051172707889126,Black or African-American
2011,0.032210834553440704,Hispanic (Any Race)
2012,0.03038674033149171,Hispanic (Any Race)
2013,0.033783783783783786,Hispanic (Any Race)
2014,0.02152317880794702,Hispanic (Any Race)
2015,0.04409171075837742,Hispanic (Any Race)
2016,0.02664298401420959,Hispanic (Any Race)
2017,0.044444444444444446,Hispanic (Any Race)
2018,0.050100200400801605,Hispanic (Any Race)
2019,0.037366548042704624,Hispanic (Any Race)
2020,0.04710144927536232,Hispanic (Any Race)
2021,0.0511727078891258,Hispanic (Any Race)
2011,0.25036603221083453,Asian
2012,0.23204419889502761,Asian
2013,0.22972972972972974,Asian
2014,0.20364238410596028,Asian
2015,0.16225749559082892,Asian
2016,0.20603907637655416,Asian
2017,0.24074074074074073,Asian
2018,0.1623246492985972,Asian
2019,0.26868327402135234,Asian
2020,0.2644927536231884,Asian
2021,0.2899786780383795,Asian
2011,0.6808199121522694,White
2012,0.6850828729281768,White
2013,0.6858108108108109,White
2014,0.7301324503311258,White
2015,0.7336860670194003,White
2016,0.7229129662522202,White
2017,0.687037037037037,White
2018,0.7314629258517034,White
2019,0.6494661921708185,White
2020,0.6286231884057971,White
2021,0.5863539445628998,White
